Episode,Reward
1,-299
2,-598
3,-897
4,-1196
5,-1495
6,-1794
7,-2093
8,-2392
9,-2691
10,-2990
11,-3289
12,-3588
13,-3887
14,-4186
15,-4485
16,-4784
17,-5083
18,-5382
19,-5681
20,-5980
21,-6279
22,-6578
23,-6877
24,-7176
25,-7475
26,-7774
27,-8073
28,-8372
29,-8671
30,-8970
31,-9269
32,-9568
33,-9867
34,-10166
35,-10465
36,-10764
37,-11063
38,-11362
39,-11661
40,-11960
41,-12259
42,-12558
43,-12857
44,-13156
45,-13455
46,-13754
47,-14053
48,-14352
49,-14651
50,-14950
51,-15249
52,-15548
53,-15847
54,-16146
55,-16445
56,-16744
57,-17043
58,-17342
59,-17641
60,-17940
61,-18239
62,-18538
63,-18837
64,-19136
65,-19435
66,-19734
67,-20033
68,-20332
69,-20631
70,-20930
71,-21229
72,-21528
73,-21827
74,-22126
75,-22425
76,-22724
77,-23023
78,-23322
79,-23621
80,-23920
81,-23962
82,-24261
83,-24560
84,-24859
85,-25158
86,-25457
87,-25756
88,-26055
89,-26354
90,-26653
91,-26952
92,-27251
93,-27550
94,-27849
95,-27905
96,-28204
97,-28503
98,-28563
99,-28862
100,-29161
101,-29460
102,-29506
103,-29805
104,-30104
105,-30403
106,-30702
107,-31001
108,-31300
109,-31599
110,-31898
111,-32197
112,-32496
113,-32795
114,-33094
115,-33393
116,-33692
117,-33991
118,-34290
119,-34589
120,-34888
121,-35187
122,-35486
123,-35785
124,-36084
125,-36383
126,-36415
127,-36714
128,-37013
129,-37312
130,-37611
131,-37910
132,-38209
133,-38241
134,-38540
135,-38839
136,-39138
137,-39437
138,-39736
139,-40035
140,-40334
141,-40633
142,-40932
143,-41231
144,-41530
145,-41829
146,-42128
147,-42427
148,-42726
149,-43025
150,-43324
151,-43623
152,-43922
153,-44221
154,-44520
155,-44819
156,-44841
157,-45140
158,-45439
159,-45738
160,-45865
161,-45885
162,-46184
163,-46483
164,-46782
165,-47081
166,-47104
167,-47403
168,-47702
169,-48001
170,-48300
171,-48599
172,-48898
173,-49197
174,-49313
175,-49612
176,-49911
177,-50210
178,-50509
179,-50808
180,-51107
181,-51406
182,-51705
183,-52004
184,-52303
185,-52602
186,-52901
187,-53200
188,-53499
189,-53798
190,-54097
191,-54396
192,-54695
193,-54714
194,-54788
195,-55087
196,-55386
197,-55410
198,-55709
199,-56008
200,-56307
201,-56606
202,-56905
203,-57204
204,-57503
205,-57802
206,-58101
207,-58400
208,-58534
209,-58833
210,-59132
211,-59431
212,-59730
213,-60029
214,-60328
215,-60400
216,-60699
217,-60998
218,-61297
219,-61596
220,-61895
221,-62194
222,-62213
223,-62232
224,-62251
225,-62270
226,-62289
227,-62308
228,-62327
229,-62346
230,-62365
231,-62384
232,-62403
233,-62422
234,-62441
235,-62460
236,-62479
237,-62498
238,-62517
239,-62536
240,-62555
241,-62574
242,-62593
243,-62612
244,-62631
245,-62650
246,-62669
247,-62688
248,-62707
249,-62726
250,-62745
251,-62764
252,-62783
253,-62802
254,-62821
255,-62840
256,-62859
257,-62878
258,-62897
259,-62916
260,-62935
261,-62954
262,-62973
263,-62992
264,-63011
265,-63030
266,-63049
267,-63068
268,-63087
269,-63106
270,-63125
271,-63144
272,-63163
273,-63182
274,-63201
275,-63220
276,-63239
277,-63258
278,-63277
279,-63296
280,-63315
281,-63334
282,-63353
283,-63372
284,-63391
285,-63410
286,-63429
287,-63448
288,-63467
289,-63486
290,-63505
291,-63524
292,-63543
293,-63562
294,-63581
295,-63600
296,-63619
297,-63638
298,-63657
299,-63676
300,-63695
301,-63714
302,-63733
303,-63752
304,-63771
305,-63790
306,-63809
307,-63828
308,-63847
309,-63866
310,-63885
311,-63904
312,-63923
313,-63942
314,-63961
315,-63980
316,-63999
317,-64018
318,-64037
319,-64056
320,-64075
321,-64094
322,-64113
323,-64132
324,-64151
325,-64170
326,-64189
327,-64208
328,-64227
329,-64246
330,-64265
331,-64284
332,-64303
333,-64322
334,-64341
335,-64360
336,-64379
337,-64398
338,-64417
339,-64436
340,-64455
341,-64474
342,-64493
343,-64512
344,-64531
345,-64550
346,-64569
347,-64588
348,-64607
349,-64626
350,-64645
351,-64664
352,-64683
353,-64702
354,-64721
355,-64740
356,-64759
357,-64778
358,-64797
359,-64816
360,-64835
361,-64854
362,-64873
363,-64892
364,-64911
365,-64930
366,-64949
367,-64968
368,-64987
369,-65006
370,-65025
371,-65044
372,-65063
373,-65082
374,-65101
375,-65120
376,-65139
377,-65158
378,-65177
379,-65196
380,-65215
381,-65234
382,-65253
383,-65272
384,-65291
385,-65310
386,-65329
387,-65348
388,-65367
389,-65386
390,-65405
391,-65424
392,-65443
393,-65462
394,-65481
395,-65500
396,-65519
397,-65538
398,-65557
399,-65576
400,-65595
401,-65614
402,-65633
403,-65652
404,-65671
405,-65690
406,-65709
407,-65728
408,-65747
409,-65766
410,-65785
411,-65804
412,-65823
413,-65842
414,-65861
415,-65880
416,-65899
417,-65918
418,-65937
419,-65956
420,-65975
421,-65994
422,-66013
423,-66032
424,-66051
425,-66070
426,-66089
427,-66108
428,-66127
429,-66146
430,-66165
431,-66184
432,-66203
433,-66222
434,-66241
435,-66260
436,-66279
437,-66298
438,-66317
439,-66336
440,-66355
441,-66374
442,-66393
443,-66412
444,-66431
445,-66450
446,-66469
447,-66488
448,-66507
449,-66526
450,-66545
451,-66564
452,-66583
453,-66602
454,-66621
455,-66640
456,-66659
457,-66678
458,-66697
459,-66716
460,-66735
461,-66754
462,-66773
463,-66792
464,-66811
465,-66830
466,-66849
467,-66868
468,-66887
469,-66906
470,-66925
471,-66944
472,-66963
473,-66982
474,-67001
475,-67020
476,-67039
477,-67058
478,-67077
479,-67096
480,-67115
481,-67134
482,-67153
483,-67172
484,-67191
485,-67210
486,-67229
487,-67248
488,-67267
489,-67286
490,-67305
491,-67324
492,-67343
493,-67362
494,-67381
495,-67400
496,-67419
497,-67438
498,-67457
499,-67476
500,-67495
501,-67514
502,-67533
503,-67552
504,-67571
505,-67590
506,-67609
507,-67628
508,-67647
509,-67666
510,-67685
511,-67704
512,-67723
513,-67742
514,-67761
515,-67780
516,-67799
517,-67818
518,-67837
519,-67856
520,-67875
521,-67894
522,-67913
523,-67932
524,-67951
525,-67970
526,-67989
527,-68008
528,-68027
529,-68046
530,-68065
531,-68084
532,-68103
533,-68122
534,-68141
535,-68160
536,-68179
537,-68198
538,-68217
539,-68236
540,-68255
541,-68274
542,-68293
543,-68312
544,-68331
545,-68350
546,-68369
547,-68388
548,-68407
549,-68426
550,-68445
551,-68464
552,-68483
553,-68502
554,-68521
555,-68540
556,-68559
557,-68578
558,-68597
559,-68616
560,-68635
561,-68654
562,-68673
563,-68692
564,-68711
565,-68730
566,-68749
567,-68768
568,-68787
569,-68806
570,-68825
571,-68844
572,-68863
573,-68882
574,-68901
575,-68920
576,-68939
577,-68958
578,-68977
579,-68996
580,-69015
581,-69034
582,-69053
583,-69072
584,-69091
585,-69110
586,-69129
587,-69148
588,-69167
589,-69186
590,-69205
591,-69224
592,-69243
593,-69262
594,-69281
595,-69300
596,-69319
597,-69338
598,-69357
599,-69376
600,-69395
601,-69414
602,-69433
603,-69452
604,-69471
605,-69490
606,-69509
607,-69528
608,-69547
609,-69566
610,-69585
611,-69604
612,-69623
613,-69642
614,-69661
615,-69680
616,-69699
617,-69718
618,-69737
619,-69756
620,-69775
621,-69794
622,-69813
623,-69832
624,-69851
625,-69870
626,-69889
627,-69908
628,-69927
629,-69946
630,-69965
631,-69984
632,-70003
633,-70022
634,-70041
635,-70060
636,-70079
637,-70098
638,-70117
639,-70136
640,-70155
641,-70174
642,-70193
643,-70212
644,-70231
645,-70250
646,-70269
647,-70288
648,-70307
649,-70326
650,-70345
651,-70364
652,-70383
653,-70402
654,-70421
655,-70440
656,-70459
657,-70478
658,-70497
659,-70516
660,-70535
661,-70554
662,-70573
663,-70592
