Episode,Steps
1,300
2,600
3,900
4,1200
5,1500
6,1800
7,2100
8,2400
9,2700
10,3000
11,3300
12,3600
13,3900
14,4200
15,4500
16,4800
17,5100
18,5400
19,5700
20,6000
21,6300
22,6600
23,6900
24,7200
25,7500
26,7800
27,8100
28,8400
29,8700
30,9000
31,9300
32,9600
33,9900
34,10200
35,10500
36,10800
37,11100
38,11400
39,11700
40,12000
41,12300
42,12600
43,12900
44,13200
45,13500
46,13800
47,14100
48,14400
49,14700
50,15000
51,15300
52,15600
53,15900
54,16200
55,16500
56,16800
57,17100
58,17400
59,17700
60,18000
61,18300
62,18600
63,18900
64,19200
65,19500
66,19800
67,20100
68,20400
69,20700
70,21000
71,21300
72,21600
73,21900
74,22200
75,22500
76,22800
77,23100
78,23400
79,23700
80,24000
81,24043
82,24343
83,24643
84,24943
85,25243
86,25543
87,25843
88,26143
89,26443
90,26743
91,27043
92,27343
93,27643
94,27943
95,28000
96,28300
97,28600
98,28661
99,28961
100,29261
101,29561
102,29608
103,29908
104,30208
105,30508
106,30808
107,31108
108,31408
109,31708
110,32008
111,32308
112,32608
113,32908
114,33208
115,33508
116,33808
117,34108
118,34408
119,34708
120,35008
121,35308
122,35608
123,35908
124,36208
125,36508
126,36541
127,36841
128,37141
129,37441
130,37741
131,38041
132,38341
133,38374
134,38674
135,38974
136,39274
137,39574
138,39874
139,40174
140,40474
141,40774
142,41074
143,41374
144,41674
145,41974
146,42274
147,42574
148,42874
149,43174
150,43474
151,43774
152,44074
153,44374
154,44674
155,44974
156,44997
157,45297
158,45597
159,45897
160,46025
161,46046
162,46346
163,46646
164,46946
165,47246
166,47270
167,47570
168,47870
169,48170
170,48470
171,48770
172,49070
173,49370
174,49487
175,49787
176,50087
177,50387
178,50687
179,50987
180,51287
181,51587
182,51887
183,52187
184,52487
185,52787
186,53087
187,53387
188,53687
189,53987
190,54287
191,54587
192,54887
193,54907
194,54982
195,55282
196,55582
197,55607
198,55907
199,56207
200,56507
201,56807
202,57107
203,57407
204,57707
205,58007
206,58307
207,58607
208,58742
209,59042
210,59342
211,59642
212,59942
213,60242
214,60542
215,60615
216,60915
217,61215
218,61515
219,61815
220,62115
221,62415
222,62435
223,62455
224,62475
225,62495
226,62515
227,62535
228,62555
229,62575
230,62595
231,62615
232,62635
233,62655
234,62675
235,62695
236,62715
237,62735
238,62755
239,62775
240,62795
241,62815
242,62835
243,62855
244,62875
245,62895
246,62915
247,62935
248,62955
249,62975
250,62995
251,63015
252,63035
253,63055
254,63075
255,63095
256,63115
257,63135
258,63155
259,63175
260,63195
261,63215
262,63235
263,63255
264,63275
265,63295
266,63315
267,63335
268,63355
269,63375
270,63395
271,63415
272,63435
273,63455
274,63475
275,63495
276,63515
277,63535
278,63555
279,63575
280,63595
281,63615
282,63635
283,63655
284,63675
285,63695
286,63715
287,63735
288,63755
289,63775
290,63795
291,63815
292,63835
293,63855
294,63875
295,63895
296,63915
297,63935
298,63955
299,63975
300,63995
301,64015
302,64035
303,64055
304,64075
305,64095
306,64115
307,64135
308,64155
309,64175
310,64195
311,64215
312,64235
313,64255
314,64275
315,64295
316,64315
317,64335
318,64355
319,64375
320,64395
321,64415
322,64435
323,64455
324,64475
325,64495
326,64515
327,64535
328,64555
329,64575
330,64595
331,64615
332,64635
333,64655
334,64675
335,64695
336,64715
337,64735
338,64755
339,64775
340,64795
341,64815
342,64835
343,64855
344,64875
345,64895
346,64915
347,64935
348,64955
349,64975
350,64995
351,65015
352,65035
353,65055
354,65075
355,65095
356,65115
357,65135
358,65155
359,65175
360,65195
361,65215
362,65235
363,65255
364,65275
365,65295
366,65315
367,65335
368,65355
369,65375
370,65395
371,65415
372,65435
373,65455
374,65475
375,65495
376,65515
377,65535
378,65555
379,65575
380,65595
381,65615
382,65635
383,65655
384,65675
385,65695
386,65715
387,65735
388,65755
389,65775
390,65795
391,65815
392,65835
393,65855
394,65875
395,65895
396,65915
397,65935
398,65955
399,65975
400,65995
401,66015
402,66035
403,66055
404,66075
405,66095
406,66115
407,66135
408,66155
409,66175
410,66195
411,66215
412,66235
413,66255
414,66275
415,66295
416,66315
417,66335
418,66355
419,66375
420,66395
421,66415
422,66435
423,66455
424,66475
425,66495
426,66515
427,66535
428,66555
429,66575
430,66595
431,66615
432,66635
433,66655
434,66675
435,66695
436,66715
437,66735
438,66755
439,66775
440,66795
441,66815
442,66835
443,66855
444,66875
445,66895
446,66915
447,66935
448,66955
449,66975
450,66995
451,67015
452,67035
453,67055
454,67075
455,67095
456,67115
457,67135
458,67155
459,67175
460,67195
461,67215
462,67235
463,67255
464,67275
465,67295
466,67315
467,67335
468,67355
469,67375
470,67395
471,67415
472,67435
473,67455
474,67475
475,67495
476,67515
477,67535
478,67555
479,67575
480,67595
481,67615
482,67635
483,67655
484,67675
485,67695
486,67715
487,67735
488,67755
489,67775
490,67795
491,67815
492,67835
493,67855
494,67875
495,67895
496,67915
497,67935
498,67955
499,67975
500,67995
501,68015
502,68035
503,68055
504,68075
505,68095
506,68115
507,68135
508,68155
509,68175
510,68195
511,68215
512,68235
513,68255
514,68275
515,68295
516,68315
517,68335
518,68355
519,68375
520,68395
521,68415
522,68435
523,68455
524,68475
525,68495
526,68515
527,68535
528,68555
529,68575
530,68595
531,68615
532,68635
533,68655
534,68675
535,68695
536,68715
537,68735
538,68755
539,68775
540,68795
541,68815
542,68835
543,68855
544,68875
545,68895
546,68915
547,68935
548,68955
549,68975
550,68995
551,69015
552,69035
553,69055
554,69075
555,69095
556,69115
557,69135
558,69155
559,69175
560,69195
561,69215
562,69235
563,69255
564,69275
565,69295
566,69315
567,69335
568,69355
569,69375
570,69395
571,69415
572,69435
573,69455
574,69475
575,69495
576,69515
577,69535
578,69555
579,69575
580,69595
581,69615
582,69635
583,69655
584,69675
585,69695
586,69715
587,69735
588,69755
589,69775
590,69795
591,69815
592,69835
593,69855
594,69875
595,69895
596,69915
597,69935
598,69955
599,69975
600,69995
601,70015
602,70035
603,70055
604,70075
605,70095
606,70115
607,70135
608,70155
609,70175
610,70195
611,70215
612,70235
613,70255
614,70275
615,70295
616,70315
617,70335
618,70355
619,70375
620,70395
621,70415
622,70435
623,70455
624,70475
625,70495
626,70515
627,70535
628,70555
629,70575
630,70595
631,70615
632,70635
633,70655
634,70675
635,70695
636,70715
637,70735
638,70755
639,70775
640,70795
641,70815
642,70835
643,70855
644,70875
645,70895
646,70915
647,70935
648,70955
649,70975
650,70995
651,71015
652,71035
653,71055
654,71075
655,71095
656,71115
657,71135
658,71155
659,71175
660,71195
661,71215
662,71235
663,71255
664,71275
665,71295
666,71315
667,71335
668,71355
669,71375
670,71395
671,71415
672,71435
673,71455
674,71475
675,71495
676,71515
677,71535
678,71555
679,71575
680,71595
681,71615
682,71635
683,71655
684,71675
685,71695
686,71715
687,71735
688,71755
689,71775
690,71795
691,71815
692,71835
693,71855
694,71875
695,71895
696,71915
697,71935
698,71955
699,71975
700,71995
701,72015
702,72035
703,72055
704,72075
705,72095
706,72115
707,72135
708,72155
709,72175
710,72195
711,72215
712,72235
713,72255
714,72275
715,72295
716,72315
717,72335
718,72355
719,72375
720,72395
721,72415
722,72435
723,72455
724,72475
725,72495
726,72515
727,72535
728,72555
729,72575
730,72595
731,72615
732,72635
733,72655
734,72675
735,72695
736,72715
737,72735
738,72755
739,72775
740,72795
741,72815
742,72835
743,72855
744,72875
745,72895
746,72915
747,72935
748,72955
749,72975
750,72995
751,73015
752,73035
753,73055
754,73075
755,73095
756,73115
757,73135
758,73155
759,73175
760,73195
761,73215
762,73235
763,73255
764,73275
765,73295
766,73315
767,73335
768,73355
769,73375
770,73395
771,73415
772,73435
773,73455
774,73475
775,73495
776,73515
777,73535
778,73555
779,73575
780,73595
781,73615
782,73635
783,73655
784,73675
785,73695
786,73715
787,73735
788,73755
789,73775
790,73795
791,73815
792,73835
793,73855
794,73875
795,73895
796,73915
797,73935
798,73955
799,73975
800,73995
801,74015
802,74035
803,74055
804,74075
805,74095
806,74115
807,74135
808,74155
809,74175
810,74195
811,74215
812,74235
813,74255
814,74275
815,74295
816,74315
817,74335
818,74355
819,74375
820,74395
821,74415
822,74435
823,74455
824,74475
825,74495
826,74515
827,74535
828,74555
829,74575
830,74595
831,74615
832,74635
833,74655
834,74675
835,74695
836,74715
837,74735
838,74755
839,74775
840,74795
841,74815
842,74835
843,74855
844,74875
845,74895
846,74915
847,74935
848,74955
849,74975
850,74995
851,75015
852,75035
853,75055
854,75075
855,75095
856,75115
857,75135
858,75155
859,75175
860,75195
861,75215
862,75235
863,75255
864,75275
865,75295
866,75315
867,75335
868,75355
869,75375
870,75395
871,75415
872,75435
873,75455
874,75475
875,75495
876,75515
877,75535
878,75555
879,75575
880,75595
881,75615
882,75635
883,75655
884,75675
885,75695
886,75715
887,75735
888,75755
889,75775
890,75795
891,75815
892,75835
893,75855
894,75875
895,75895
896,75915
897,75935
898,75955
899,75975
900,75995
901,76015
902,76035
903,76055
904,76075
905,76095
906,76115
907,76135
908,76155
909,76175
910,76195
911,76215
912,76235
913,76255
914,76275
915,76295
916,76315
917,76335
918,76355
919,76375
920,76395
921,76415
922,76435
923,76455
924,76475
925,76495
926,76515
927,76535
928,76555
929,76575
930,76595
931,76615
932,76635
933,76655
934,76675
935,76695
936,76715
937,76735
938,76755
939,76775
940,76795
941,76815
942,76835
943,76855
944,76875
945,76895
946,76915
947,76935
948,76955
949,76975
950,76995
951,77015
952,77035
953,77055
954,77075
955,77095
956,77115
957,77135
958,77155
959,77175
960,77195
961,77215
962,77235
963,77255
964,77275
965,77295
966,77315
967,77335
968,77355
969,77375
970,77395
971,77415
972,77435
973,77455
974,77475
975,77495
976,77515
977,77535
978,77555
979,77575
980,77595
981,77615
982,77635
983,77655
984,77675
985,77695
986,77715
987,77735
988,77755
989,77775
990,77795
991,77815
992,77835
993,77855
994,77875
995,77895
996,77915
997,77935
998,77955
999,77975
1000,77995
1001,78015
1002,78035
1003,78055
1004,78075
1005,78095
1006,78115
1007,78135
1008,78155
1009,78175
1010,78195
1011,78215
1012,78235
1013,78255
1014,78275
1015,78295
1016,78315
1017,78335
1018,78355
1019,78375
1020,78395
1021,78415
1022,78435
1023,78455
1024,78475
1025,78495
1026,78515
1027,78535
1028,78555
1029,78575
1030,78595
1031,78615
1032,78635
1033,78655
1034,78675
1035,78695
1036,78715
1037,78735
1038,78755
1039,78775
1040,78795
1041,78815
1042,78835
1043,78855
1044,78875
1045,78895
1046,78915
1047,78935
1048,78955
1049,78975
1050,78995
1051,79015
1052,79035
1053,79055
1054,79075
1055,79095
1056,79115
1057,79135
1058,79155
1059,79175
1060,79195
1061,79215
1062,79235
1063,79255
1064,79275
1065,79295
1066,79315
1067,79335
1068,79355
1069,79375
1070,79395
1071,79415
1072,79435
1073,79455
1074,79475
1075,79495
1076,79515
1077,79535
1078,79555
1079,79575
1080,79595
1081,79615
1082,79635
1083,79655
1084,79675
1085,79695
1086,79715
1087,79735
1088,79755
1089,79775
1090,79795
1091,79815
1092,79835
1093,79855
1094,79875
1095,79895
1096,79915
1097,79935
1098,79955
1099,79975
1100,79995
1101,80015
1102,80035
1103,80055
1104,80075
1105,80095
1106,80115
1107,80135
1108,80155
1109,80175
1110,80195
1111,80215
1112,80235
1113,80255
1114,80275
1115,80295
1116,80315
1117,80335
1118,80355
1119,80375
1120,80395
1121,80415
1122,80435
1123,80455
1124,80475
