Episode,Reward
1,-199
2,-398
3,-597
4,-796
5,-995
6,-1194
7,-1393
8,-1592
9,-1791
10,-1890
11,-2089
12,-2288
13,-2487
14,-2686
15,-2765
16,-2964
17,-3163
18,-3208
19,-3407
20,-3606
21,-3805
22,-3974
23,-4173
24,-4372
25,-4414
26,-4447
27,-4646
28,-4686
29,-4705
30,-4726
31,-4744
32,-4764
33,-4784
34,-4803
35,-4819
36,-4838
37,-4854
38,-4869
39,-4887
40,-4904
41,-5103
42,-5134
43,-5150
44,-5198
45,-5215
46,-5230
47,-5251
48,-5270
49,-5285
50,-5313
51,-5512
52,-5527
53,-5726
54,-5742
55,-5757
56,-5772
57,-5787
58,-5810
59,-5826
60,-5841
61,-5858
62,-5874
63,-5890
64,-5906
65,-5924
66,-5940
67,-6139
68,-6156
69,-6171
70,-6193
71,-6211
72,-6231
73,-6250
74,-6266
75,-6283
76,-6299
77,-6320
78,-6519
79,-6536
80,-6552
81,-6581
82,-6596
83,-6612
84,-6627
85,-6643
86,-6659
87,-6676
88,-6691
89,-6708
90,-6724
91,-6739
92,-6755
93,-6770
94,-6785
95,-6800
96,-6816
97,-6836
98,-6851
99,-6868
100,-6884
101,-6899
102,-6918
103,-6936
104,-6958
105,-6976
106,-6991
107,-7008
108,-7207
109,-7222
110,-7239
111,-7257
112,-7273
113,-7291
114,-7306
115,-7323
116,-7340
117,-7357
118,-7372
119,-7388
120,-7405
121,-7423
122,-7439
123,-7458
124,-7475
125,-7495
126,-7510
127,-7525
128,-7543
129,-7564
130,-7580
131,-7595
132,-7619
133,-7634
134,-7651
135,-7666
136,-7681
137,-7698
138,-7713
139,-7729
140,-7928
141,-7948
142,-7963
143,-7979
144,-7994
145,-8009
146,-8027
147,-8047
148,-8063
149,-8078
150,-8096
151,-8111
152,-8126
153,-8141
154,-8157
155,-8172
156,-8189
157,-8205
158,-8224
159,-8242
160,-8260
161,-8276
162,-8294
163,-8312
164,-8511
165,-8526
166,-8541
167,-8556
168,-8574
169,-8591
170,-8610
171,-8626
172,-8641
173,-8656
174,-8672
175,-8688
176,-8708
177,-8724
178,-8740
179,-8759
180,-8776
181,-8799
182,-8817
183,-8835
184,-8853
185,-8870
186,-8890
187,-8906
188,-9105
189,-9122
190,-9138
191,-9154
192,-9172
193,-9189
194,-9207
195,-9222
196,-9240
197,-9255
198,-9270
199,-9288
200,-9304
201,-9319
202,-9334
203,-9355
204,-9371
205,-9570
206,-9585
207,-9612
208,-9629
209,-9650
210,-9665
211,-9681
212,-9698
213,-9716
214,-9736
215,-9753
216,-9774
217,-9791
218,-9806
219,-9821
220,-9836
221,-9855
222,-9870
223,-9885
224,-9901
225,-9917
226,-9934
227,-9949
228,-9967
229,-9988
230,-10004
231,-10019
232,-10035
233,-10050
234,-10066
235,-10081
236,-10100
237,-10115
238,-10135
239,-10151
240,-10167
241,-10182
242,-10201
243,-10217
244,-10233
245,-10248
246,-10263
247,-10278
248,-10477
249,-10492
250,-10512
251,-10528
252,-10544
253,-10561
254,-10578
255,-10594
256,-10611
257,-10628
258,-10644
259,-10660
260,-10677
261,-10692
262,-10709
263,-10908
264,-11107
265,-11123
266,-11322
267,-11338
268,-11353
269,-11369
270,-11389
271,-11406
272,-11605
273,-11620
274,-11641
275,-11658
276,-11676
277,-11691
278,-11706
279,-11721
280,-11737
281,-11752
282,-11769
283,-11784
284,-11801
285,-11816
286,-12015
287,-12034
288,-12233
289,-12250
290,-12267
291,-12284
292,-12300
293,-12317
294,-12332
295,-12349
296,-12365
297,-12381
298,-12397
299,-12415
300,-12430
301,-12445
302,-12463
303,-12481
304,-12501
305,-12518
306,-12536
307,-12557
308,-12573
309,-12588
310,-12606
311,-12623
312,-12641
313,-12656
314,-12672
315,-12688
316,-12703
317,-12724
318,-12741
319,-12759
320,-12777
321,-12794
322,-12810
323,-12825
324,-12843
325,-12859
326,-12876
327,-12891
328,-12909
329,-12924
330,-12939
331,-13138
332,-13153
333,-13169
334,-13184
335,-13200
336,-13220
337,-13235
338,-13254
339,-13271
340,-13288
341,-13303
342,-13319
343,-13334
344,-13350
345,-13368
346,-13383
347,-13401
348,-13416
349,-13432
350,-13448
351,-13464
352,-13479
353,-13499
354,-13514
355,-13532
356,-13548
357,-13747
358,-13762
359,-13778
360,-13796
361,-13812
362,-13827
363,-13843
364,-13864
365,-13882
366,-14081
367,-14096
368,-14112
369,-14127
370,-14146
371,-14165
372,-14181
373,-14199
374,-14216
375,-14231
376,-14248
377,-14264
378,-14286
379,-14301
380,-14317
381,-14334
382,-14350
383,-14366
384,-14381
385,-14396
386,-14414
387,-14434
388,-14449
389,-14466
390,-14482
391,-14499
392,-14515
393,-14714
394,-14729
395,-14751
396,-14766
397,-14785
398,-14801
399,-14816
400,-14833
401,-14850
402,-14866
403,-14884
404,-14900
405,-14916
406,-14937
407,-14952
408,-14968
409,-14983
410,-15182
411,-15201
412,-15216
413,-15232
414,-15249
415,-15266
416,-15281
417,-15296
418,-15311
419,-15331
420,-15352
421,-15369
422,-15385
423,-15400
424,-15415
425,-15433
426,-15450
427,-15470
428,-15488
429,-15506
430,-15522
431,-15538
432,-15554
433,-15569
434,-15584
435,-15599
436,-15619
437,-15635
438,-15650
439,-15849
440,-15864
441,-15880
442,-15896
443,-15912
444,-15929
445,-15945
446,-15962
447,-15979
448,-15997
449,-16015
450,-16030
451,-16045
452,-16064
453,-16079
454,-16096
455,-16111
456,-16310
457,-16326
458,-16341
459,-16363
460,-16383
461,-16398
462,-16415
463,-16434
464,-16451
465,-16466
466,-16482
467,-16497
468,-16513
469,-16530
470,-16547
471,-16563
472,-16578
473,-16595
474,-16612
475,-16631
476,-16830
477,-16846
478,-16861
479,-16877
480,-16893
481,-16908
482,-17107
483,-17306
484,-17505
485,-17521
486,-17541
487,-17564
488,-17585
489,-17601
490,-17616
491,-17633
492,-17652
493,-17667
494,-17683
495,-17702
496,-17719
497,-17739
498,-17756
499,-17772
500,-17790
501,-17805
502,-17820
503,-17836
504,-17853
505,-17869
506,-17884
507,-17902
508,-17917
509,-18116
510,-18136
511,-18155
512,-18173
513,-18372
514,-18388
515,-18404
516,-18419
517,-18434
518,-18450
519,-18468
520,-18483
521,-18499
522,-18514
523,-18529
524,-18546
525,-18561
526,-18582
527,-18597
528,-18616
529,-18632
530,-18647
531,-18662
532,-18677
533,-18693
534,-18711
535,-18728
536,-18745
537,-18765
538,-18780
539,-18797
540,-18814
541,-18830
542,-18847
543,-18866
544,-18882
545,-18897
546,-18913
547,-18928
548,-18945
549,-18962
550,-18977
551,-18992
552,-19010
553,-19027
554,-19049
555,-19248
556,-19263
557,-19278
558,-19295
559,-19311
560,-19328
561,-19349
562,-19364
563,-19384
564,-19400
565,-19418
566,-19436
567,-19451
568,-19467
569,-19485
570,-19500
571,-19517
572,-19536
573,-19551
574,-19567
575,-19583
576,-19601
577,-19618
578,-19633
579,-19651
580,-19666
581,-19685
582,-19703
583,-19718
584,-19734
585,-19750
586,-19766
587,-19784
588,-19800
589,-19819
590,-19840
591,-19861
592,-19878
593,-19893
594,-19909
595,-19924
596,-19945
597,-19961
598,-19979
599,-19996
600,-20013
601,-20031
602,-20230
603,-20245
604,-20444
605,-20460
606,-20476
607,-20491
608,-20506
609,-20521
610,-20536
611,-20552
612,-20570
613,-20588
614,-20607
615,-20623
616,-20638
617,-20654
618,-20669
619,-20868
620,-20885
621,-20904
622,-20921
623,-20940
624,-20955
625,-21154
626,-21171
627,-21189
628,-21209
629,-21225
630,-21242
631,-21263
632,-21281
633,-21296
634,-21311
635,-21328
636,-21344
637,-21359
638,-21374
639,-21391
640,-21409
641,-21608
642,-21623
643,-21643
644,-21658
645,-21674
646,-21689
647,-21705
648,-21721
649,-21738
650,-21754
651,-21771
652,-21786
653,-21803
654,-21818
655,-21836
656,-21851
657,-21869
658,-21886
659,-21901
660,-21918
661,-21934
662,-21949
663,-21966
664,-21983
665,-21998
666,-22014
667,-22032
668,-22048
669,-22065
670,-22082
671,-22099
672,-22117
673,-22132
674,-22148
675,-22165
676,-22182
677,-22198
678,-22213
679,-22228
680,-22243
681,-22260
682,-22281
683,-22296
684,-22312
685,-22327
686,-22346
687,-22366
688,-22381
689,-22402
690,-22418
691,-22438
692,-22457
693,-22472
694,-22487
695,-22504
696,-22520
697,-22536
698,-22551
699,-22567
700,-22766
701,-22782
702,-22797
703,-22814
704,-22830
705,-22846
706,-22863
707,-22878
708,-22894
709,-22914
710,-22934
711,-22949
712,-22969
713,-22986
714,-23001
715,-23017
716,-23216
717,-23234
718,-23251
719,-23268
720,-23284
721,-23304
722,-23321
723,-23340
724,-23539
725,-23554
726,-23569
727,-23587
728,-23602
729,-23617
730,-23636
731,-23652
732,-23667
733,-23686
734,-23703
735,-23719
736,-23735
737,-23753
738,-23768
739,-23786
740,-23804
741,-23820
742,-23835
743,-23853
744,-24052
745,-24070
746,-24086
747,-24102
748,-24118
749,-24134
750,-24151
751,-24166
752,-24186
753,-24202
754,-24219
755,-24236
756,-24253
757,-24271
758,-24287
759,-24305
760,-24322
761,-24339
762,-24358
763,-24373
764,-24392
765,-24410
766,-24426
767,-24441
768,-24459
769,-24477
770,-24492
771,-24510
772,-24527
773,-24546
774,-24563
775,-24580
776,-24596
777,-24612
778,-24628
779,-24643
780,-24661
781,-24679
782,-24694
783,-24713
784,-24729
785,-24744
786,-24764
787,-24781
788,-24796
789,-24813
790,-24832
791,-24851
792,-24866
793,-24881
794,-24898
795,-24916
796,-24932
797,-24947
798,-24964
799,-24983
800,-25001
801,-25018
802,-25035
803,-25051
804,-25070
805,-25087
806,-25105
807,-25121
808,-25137
809,-25153
810,-25169
811,-25187
812,-25203
813,-25221
814,-25237
815,-25255
816,-25271
817,-25290
818,-25306
819,-25322
820,-25338
821,-25354
822,-25369
823,-25384
824,-25400
825,-25418
826,-25434
827,-25451
828,-25467
829,-25482
830,-25499
831,-25516
832,-25532
833,-25547
834,-25562
835,-25577
836,-25776
837,-25791
838,-25810
839,-25826
840,-25844
841,-25861
842,-25876
843,-25893
844,-25909
845,-25926
846,-25942
847,-25958
848,-25973
849,-25989
850,-26004
851,-26019
852,-26034
853,-26054
854,-26071
855,-26086
856,-26101
857,-26117
858,-26133
859,-26148
860,-26165
861,-26180
862,-26195
863,-26214
864,-26235
865,-26250
866,-26267
867,-26283
868,-26300
869,-26319
870,-26334
871,-26350
872,-26365
873,-26383
874,-26398
875,-26418
876,-26436
877,-26451
878,-26475
879,-26496
880,-26695
881,-26710
882,-26725
883,-26744
884,-26759
885,-26780
886,-26795
887,-26811
888,-26826
889,-26842
890,-26858
891,-26875
892,-26899
893,-26915
894,-26935
895,-26950
896,-26971
897,-26995
898,-27011
899,-27028
900,-27045
901,-27244
902,-27260
903,-27278
904,-27294
905,-27311
906,-27510
907,-27529
908,-27544
909,-27562
910,-27580
911,-27596
912,-27613
913,-27628
914,-27645
915,-27664
916,-27679
917,-27695
918,-27712
919,-27728
920,-27744
921,-27759
922,-27775
923,-27790
924,-27808
925,-27825
926,-27840
927,-27857
928,-27874
929,-27892
930,-27908
931,-27928
932,-27946
933,-27963
934,-27981
935,-27996
936,-28012
937,-28029
938,-28048
939,-28063
940,-28078
941,-28277
942,-28295
943,-28313
944,-28329
945,-28344
946,-28359
947,-28558
948,-28574
949,-28594
950,-28609
951,-28636
952,-28651
953,-28667
954,-28687
955,-28705
956,-28721
957,-28737
958,-28752
959,-28772
