Episode,Steps
1,200
2,400
3,600
4,800
5,1000
6,1200
7,1400
8,1600
9,1800
10,1900
11,2100
12,2300
13,2500
14,2700
15,2780
16,2980
17,3180
18,3226
19,3426
20,3626
21,3826
22,3996
23,4196
24,4396
25,4439
26,4473
27,4673
28,4714
29,4734
30,4756
31,4775
32,4796
33,4817
34,4837
35,4854
36,4874
37,4891
38,4907
39,4926
40,4944
41,5144
42,5176
43,5193
44,5242
45,5260
46,5276
47,5298
48,5318
49,5334
50,5363
51,5563
52,5579
53,5779
54,5796
55,5812
56,5828
57,5844
58,5868
59,5885
60,5901
61,5919
62,5936
63,5953
64,5970
65,5989
66,6006
67,6206
68,6224
69,6240
70,6263
71,6282
72,6303
73,6323
74,6340
75,6358
76,6375
77,6397
78,6597
79,6615
80,6632
81,6662
82,6678
83,6695
84,6711
85,6728
86,6745
87,6763
88,6779
89,6797
90,6814
91,6830
92,6847
93,6863
94,6879
95,6895
96,6912
97,6933
98,6949
99,6967
100,6984
101,7000
102,7020
103,7039
104,7062
105,7081
106,7097
107,7115
108,7315
109,7331
110,7349
111,7368
112,7385
113,7404
114,7420
115,7438
116,7456
117,7474
118,7490
119,7507
120,7525
121,7544
122,7561
123,7581
124,7599
125,7620
126,7636
127,7652
128,7671
129,7693
130,7710
131,7726
132,7751
133,7767
134,7785
135,7801
136,7817
137,7835
138,7851
139,7868
140,8068
141,8089
142,8105
143,8122
144,8138
145,8154
146,8173
147,8194
148,8211
149,8227
150,8246
151,8262
152,8278
153,8294
154,8311
155,8327
156,8345
157,8362
158,8382
159,8401
160,8420
161,8437
162,8456
163,8475
164,8675
165,8691
166,8707
167,8723
168,8742
169,8760
170,8780
171,8797
172,8813
173,8829
174,8846
175,8863
176,8884
177,8901
178,8918
179,8938
180,8956
181,8980
182,8999
183,9018
184,9037
185,9055
186,9076
187,9093
188,9293
189,9311
190,9328
191,9345
192,9364
193,9382
194,9401
195,9417
196,9436
197,9452
198,9468
199,9487
200,9504
201,9520
202,9536
203,9558
204,9575
205,9775
206,9791
207,9819
208,9837
209,9859
210,9875
211,9892
212,9910
213,9929
214,9950
215,9968
216,9990
217,10008
218,10024
219,10040
220,10056
221,10076
222,10092
223,10108
224,10125
225,10142
226,10160
227,10176
228,10195
229,10217
230,10234
231,10250
232,10267
233,10283
234,10300
235,10316
236,10336
237,10352
238,10373
239,10390
240,10407
241,10423
242,10443
243,10460
244,10477
